name,code,summary,OI,OI_sec,OI_mar,EPS,EPS_sec,EPS_mar,PER,PER_sec,PER_mar,EV/EBITDA,EV/EBITDA_sec,EV/EBITDA_mar,ROE,ROE_sec,ROE_mar,DY,DY_sec,DY_mar,52B,52B_sec,52B_mar
DSC인베스트먼트,A241520,"2012년 1월 설립된 동사는 중소·벤처기업에 대한 투자금융을 제공하는 벤처캐피탈 회사임. 투자조합 등의 결성을 통해 업무집행조합원으로서 운영 및 관리를 담당하고 있으며, 조합자금의 투자집행을 통해 중소·벤처기업 투자를 주력으로 하고 있음 2020년 6월말 현재 동사가 운영중인 투자조합은 총 11개로 운영자산(AUM) 기준 4,242억원을 기록하고 있음. 주요 출자사는 한국모태펀드, 성장사다리펀드, 한국산업은행 등임.에이비엘바이오, SCM생명과학 등 초기 투자자로 참여했던 기업들이 성공적으로 코스닥 IPO를 마치면서 지분법이익이 크게 증가함. 약 5억원 규모의 성과보수가 발생했으며, CB를 대부분 상환하여 이자비용이 줄어든 것도 이익 증가의 요인임. 동사가 투자한 지놈앤컴퍼니, 카카오게임즈 등이 하반기 상장을 앞두고 있어 지분법이익이 늘어날 수 있음. 결성 후 5년이 지난 4개 펀드가  회수를 앞두고 있어 성과보수도 증가할 전망임.",79,"6,984","105,734",346,"1,201.57",929.35,9.56,17.12,78.76, ,7.59,13.99,18.82,5.02,2.27, ,1.23,0.68,1.21,0.83,1.00
EDGC,A245620,"동사는 유후(YouWho), 나이스검사 등 유전체분석과 EDGC-SCAN 액체생검진단을 주사업으로 2013년 설립되어 2018년 코스닥에 상장. cfDNA 기반 액체생검 원천기술을 보유, 아시아 유일 GSA컨소시엄 멤버이자 일루미나의 BI파트너사로 독자 DNA분석 알고리즘과 플랫폼 기술을 보유함. 계열사로 솔젠트(코로나19 진단키트 생산), EDGC헬스케어(시약/의료장비 유통), 바이로큐어(바이러스 백신/항암제 개발) 등이 있음.2020년 6월 전년동기 대비 연결기준 매출액은 31.7% 증가, 영업손실은 53.6% 증가, 당기순손실은 27.9% 증가. 전년동기대비 매출액은 확대됐으나 원가율 상승과 판관비 증가의 영향으로 영업적자 폭이 확대됨. 의약품 유통의 안전성 및 품질보증차원에서의 경쟁력 확보를 기반으로 지속적인 성장가능성이 기대됨. 한국콜마와 맞춤형 화장품 사업을 계획 중이며 건강기능식품 사업 확장 예정임.",-86,"3,555","105,734",-271,-348.68,929.35,N/A,N/A,78.76,N/A,28.36,13.99,-23.31,-0.84,2.27, ,0.87,0.68,0.82,1.28,1.00
EG,A037370,"동사는 주요사업으로 페라이트 자성소재의 제조 판매, 엔지니어링 사업, 무역사업 등을 영위하고 있음. 산회수 설비의 설계 및 시공, 운전능력을 모두 겸비하고 있는 세계 유일의 산화철 전문 업체로서 고급산화철 세계시장 점유율 1위를 꾸준히 유지하고 있음. 중국의 TDG, 일본의 TDK 등 세계최고수준의 우량 고객사를 확보하고 있고, 우수한 품질의 제품을 제조하여 안정적으로 공급함으로써, 업계 선두의 점유율을 유지하고 있음.산화철 제품의 국내외 판매는 전년동기 수준을 유지하였으나, 코로나19 사태로 인한 무역 부문과 환경플랜트 등 엔지니어링 부문의 실적이 급감하여 매출액은 전년동기의 절반 수준으로 급감함. 환율 상승으로 원가율이 일부 개선되었으나, 외형 축소에 따른 고정비용 부담으로 영업이익과 순이익의 적자 규모가 확대됨. 최근 EG메탈, 에너지파크를 상대로 183억원 규모의 울산 자원순환 그린에너지사업 소각 및 폐수시설 건설공사 계약을 수주함.",15,"10,387","105,734",-99,280.23,929.35,N/A,216.36,78.76,35.26,15.49,13.99,-2.22,0.85,2.27, ,0.42,0.68,0.77,1.00,1.00
EMW,A079190,"동사는 1998년 6월 01일 주식회사 이엠따블유안테나로 설립되었으며, 2009년 12월 17일 '주식회사 이엠따블유'로 상호를 변경하였음. 동사는 안테나 분야(이동통신용, 근거리통신, 방산, 중계기), 소재소자, 무선통신제품 사업을 영위함. 자체 생산하는 Ferrite Sheet와 접목한 NFC 안테나를 개발하여 제품 구성을 다양화하며 중계기용 안테나, 국방 안테나 등을개발하여, 글로벌 휴대폰 제조업체와 방산분야에 납품함.2020년 6월 전년동기 대비 연결기준 매출액은 53.2% 감소, 영업이익 적자전환, 당기순이익 적자전환. 원가율악화 및 매출액대비 판관비의 비중 증가로 영업이익은 전년 동기 대비 적자전환함. 당기 중 법정관리가 종결됨. 2개월도 되지 않아 속전속결 마무리 된. 역대 최단기간 졸업인 셈. 매출 다각화를 위해 안테나와 소재소자를 이용하여 5G에 적용되는 경쟁력 있는 다중입출력 안테나를 연구 중임.",11,"28,444","105,734",10,"1,584.80",929.35,274.64,50.13,78.76,24.90,11.83,13.99,1.07,3.61,2.27, ,0.69,0.68,0.00,1.01,1.00
GH신소재,A130500,"동사는 1979년 설립 이래 34년간 일반 산업용 부직포 및 자동차 내장용 부품에 적용되는 부직포 원단과 PU(Polyurethane) Foam 제품을 생산, 공급하고 있음. 동사는 신발용 기초소재를 시작으로 국내 자동차 내장재용 부직포시장에서 단일공장 규모로는 국내 1위 기업이며, 인도공장이 가동중에 있음. 2018년 1월말 기준으로 원사사업부를 영업양수하여 부직포원단의 원재료인 원사를 생산 및 판매하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 29.4% 감소, 영업이익 적자전환, 당기순이익 적자전환. 코로나19로 인하여 국내외 자동차 생산라인 중단 등으로 인하여 자동차 부품 사업에 부정적 영향을 미침. 매출액 감소와 더불어 영업이익은 적자를 기록함.  부직포 원재료인 Fiber를 생산하여 수직계열화를 통한 시장경쟁력이 강화 될 것으로 예상하며, 자동차용 부직포외 매출도 발생하여 사업 다각화를 통한 매출시장 확대를 기대.",16,"32,896","105,734",204,487.64,929.35,15.10,164.38,78.76,15.30,16.54,13.99,5.43,1.08,2.27, ,0.62,0.68,1.04,1.03,1.00
GRT,A900290,"동사는 해외상장을 목적으로 2012년 9월 11일 홍콩지주회사인 ""그레이트리치과기유한공사(Great Rich Technologies Limited)""를 설립하였음. 주력사업은 TFT-LCD 광학막, TFT-LCD 광학보호막, 기능성박막재료(표면보호막) 및 기타플라스틱제품, 전자제품의연구, 개발, 제조, 가공. 플라스틱입자, 철물 및 배전교류설비, 방직원료의 판매임. 2020년 6월 전년동기 대비 연결기준 매출액은 6.7% 감소, 영업이익은 12.3% 감소, 당기순이익은 20.2% 감소. 동사는 중국 제조 2025 정책 과정에서 광학접착소재의 제품 수요 기반을 다졌고, 이를 바탕으로 장기적으로 부품소재 사업부문의 안정적인 성장을 목표. 강소성 연운항시에 2021년 제품양산을 목표로 제 3공장 건설을 시작. 제 3공장은 제 4차 산업 필름 코팅소재로의 확장된 포트폴리오를 구축할 예정.",679, ,"105,734",766, ,929.35,1.86, ,78.76,1.65, ,13.99,10.32, ,2.27, , ,0.68,1.10, ,1.00
GST,A083450,"반도체 및 디스플레이의 제조공정에서 사용후 배출되는 유해가스를 정화하는 가스정화장비인 Scrubber와 안정적인 온도를 유지하여 공정효율을 개선하는 온도조절 장비인 Chiller를 제조하고 있음. 디스플레이 제조공정에서 발생되는 Acid 및 VOC(휘발성 유기화합물) 가스를 처리하는 VOC농축장비도 제조함. 2020년 6월말 현재 연결대상 종속회사는 이에스티, 로보케어 등 국내외 10개사임.해외 진출 확대를 통해 거래처와 지역 확장을 지속하여 2019년 3분기부터 매출액과 영업이익 규모가 급증하기 시작함. 제품 특성상 반도체/디스플레이 등 IT 전 산업에 걸쳐 필수적으로 쓰이는 장비이며, 교체 수요도 동시에 발생하는 만큼 매출성장이 이어질 수 밖에 없음. 최근 반도체 공정 미세화 및 고도화로 사용되는 가스의 종류가 다양해지면서 고성능 스크러버와 칠러 장비 수요가 지속 높아지고 있는 것도 긍정적임.",219,"28,444","105,734","1,918","1,584.80",929.35,5.32,50.13,78.76,3.92,11.83,13.99,19.83,3.61,2.27,1.96,0.69,0.68,1.17,1.01,1.00
GS홈쇼핑,A028150,"동사는 1994년 12월 23일 설립되어, 2000년 1월 20일 코스닥 시장에 상장함.  주요 사업부로 TV쇼핑, 모바일쇼핑, 인터넷쇼핑 사업부문을 영위하고 있음. TV쇼핑 회사로는 CJ ENM, 현대홈쇼핑 등 총 7개 회사가 있으며, T커머스 시장에서는 동사를 포함하여 10개 사업자가 영업 중. 주요 TV쇼핑 업체들은 국내 시장에서의 영업 노하우를 바탕으로 적극적인 해외시장 개척을 통하여 외형확대와 수익 다각화를 시도하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 3.4% 증가, 영업이익은 2.2% 증가, 당기순이익은 5.1% 감소. 코로나19 영향으로 건강기능식품, 생필품 상품 매출이 증가하면서 모바일/인터넷 쇼핑을 중심으로 외형 성장이 가속화 되고 있음. 동사는 의류, 식품 등의 상품을 중심으로 운영함으로써 매출 성장을 이뤄냄. 한편 이미용, 여행상품 매출은 여전히 부진한 상황임.","1,211","5,636","105,734","16,696","2,021.96",929.35,8.90,20.36,78.76,7.18,5.20,13.99,9.81,5.41,2.27,4.37,1.32,0.68,0.43,0.66,1.00
GV,A045890,"동사는 1999년 7월 15일 설립되어 CNC전용장비, CNC레이저장비, LED조명의 제조 및 판매업을 주요사업으로 영위함. LED는 전기에너지를 받으면 빛을 내는 반도체 기반 광원으로 휴대가전기기, 자동차, 건축, 의료기기, 디스플레이 등 기존 산업 전반에 폭넓게 응용되고 있음. 매출비중은 LED 조명사업부문이 대부분을 차지하고 나머지는 CNC사업부문으로 구성됨.2020년 6월 전년동기 대비 연결기준 매출액은 27.4% 감소, 영업손실은 79.4% 증가, 당기순이익 흑자전환. 동사 매출은 전년 동기 대비 큰 폭으로 감소했으며 매출 감소로 인해 매출원가는 줄었지만 판관비는 오히려 늘어나는 등 비용 부담 가중되면서 영업적자 지속됨. 적자 규모 또한 전년 동기 대비 확대.  기타 수익 발생으로 인해 당기순이익은 흑자전환에 성공함.",-161,"32,896","105,734","-1,099",487.64,929.35,N/A,164.38,78.76,N/A,16.54,13.99,-91.08,1.08,2.27, ,0.62,0.68,0.53,1.03,1.00
HB테크놀러지,A078150,"동사는 국내외 LCD 및 AMOLED 검사장비의 최첨단 제품 생산 등을 주 영업목적으로 설립되었으며, 2013년 LCD 백라이트유닛인 도광판 확산판을 제조/판매하는 소재사업을 추가함. 주요 거래처는 삼성디스플레이, 중국의 BOE, 대만의 INNOLUX 등이 있음. Particle Counter 및 Bare Glass Inspection 장비 영역으로도 사업을 확장할 계획임. 2020년 6월 전년동기 대비 연결기준 매출액은 14.5% 감소, 영업이익 흑자전환, 당기순이익 흑자전환. 동사의 주요 고객사인 삼성디스플레이의 중소형 OLED 진출에 발맞춰 선제적으로 OLED 장비사업에 뛰어든 것이 호재로 작용함 주요 고객사인 삼성디스플레이발 수주가 줄어들면서 장비 사업 부문 매출이 다소 부진했으나, QD디스플레이 부문의 대규모 투자가 예상되는 만큼 향후 큰 폭의 성장이 기대됨.",101,"32,896","105,734",40,487.64,929.35,74.55,164.38,78.76,10.84,16.54,13.99,2.02,1.08,2.27,0.67,0.62,0.68,1.37,1.03,1.00
HRS,A036640,"동사는 실리콘고무제품 제조를 영위할 목적으로 1981년에 설립되었으며, 2000년 5월 30일 코스닥시장에 상장함. 동사는 다품종 소량제품을 다양한 고객에게 납품하고 있으며, 경쟁업체보다 신속한 공급, 거래처에 대한 기술 지원, 고객니즈에 부합하는 우수한 품질의 제품으로 경쟁사보다 높은 부가가치를 창출할 수 있도록 노력하고 있음. 직판 및 틈새시장 공략의 판매방식과 신속한 공급 및 다품종 소량생산의 강점을 가지고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 3.1% 감소, 영업이익 흑자전환, 당기순이익 흑자전환. 전년동기대비 매출은 줄었으나 원가율 하락과 판관비 절감 노력에 힘입어 영업이익이 흑자전환함. 주요 원재료의 가격이 하락하는 추이로 효율적 생산능력을 이끌어낼 수 있을 것으로 예상됨. 박막열전달 시트제조용 기능성 실리콘소재 개발로 수입에 의존하는 고부가가치 실리콘 소재의 내수화에 성공해 매출 증가 및 기업이미지 향상이 기대됨.",16,"32,896","105,734",60,487.64,929.35,44.52,164.38,78.76,13.43,16.54,13.99,1.36,1.08,2.27, ,0.62,0.68,0.87,1.03,1.00
IBKS제12호스팩,A335870,관련 데이터가 없습니다.,0,"6,984","105,734",-43,"1,201.57",929.35,N/A,17.12,78.76, ,7.59,13.99, ,5.02,2.27, ,1.23,0.68,.03975,0.83,1.00
IBKS제13호스팩,A351340,관련 데이터가 없습니다., ,"6,984","105,734", ,"1,201.57",929.35, ,17.12,78.76, ,7.59,13.99, ,5.02,2.27, ,1.23,0.68,-.02977,0.83,1.00
IBKS제14호스팩,A351320,관련 데이터가 없습니다., ,"6,984","105,734", ,"1,201.57",929.35, ,17.12,78.76, ,7.59,13.99, ,5.02,2.27, ,1.23,0.68,-.02534,0.83,1.00
ISC,A095340,"동사는 2001년 2월 반도체 및 전자 부품 검사장비의 핵심 소모부품인 후(後)공정의 테스트 소켓 제품 생산 등을 목적으로 설립됨. 종속회사로는 ISC International INC, JMT INC, 지멤스, ISC VINA, ISC VINA MANUFACTURING,  ISC Japan R&D Center Inc.를 보유함. 반도체 IC Final 테스트 소켓 분야에서 국내 1위의 시장점유율을 차지하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 93.1% 증가, 영업이익 흑자전환, 당기순이익 흑자전환. 딥러닝 기반 Super Resolution IP 출시 등 꾸준한 기술개발로 시장경쟁력을 갖추어 안정적인 매출성장을 위한 기반을 마련함.  5G(5세대 이동통신)서비스가 본격 확산되면서 반도체에 대한 수요가 증가할 것으로 예상돼 ISC의 반도체 테스트 솔루션 사업은 지속 성장할 것으로 기대됨.",20,"28,444","105,734",308,"1,584.80",929.35,31.70,50.13,78.76,10.83,11.83,13.99,2.57,3.61,2.27,0.51,0.69,0.68,1.41,1.01,1.00
ITX-AI,A099520,"동사는 영상기기 및 감시카메라 장치의 개발, 판매 등을 주된 사업으로 영위. CCTV 카메라가 촬영한 영상을 디지털로 변환하여 저장하는 장치인 DVR 및 CCTV 카메라, 기타 제품들을 개발 생산 판매. 유럽/러시아/중동/동남아시아/국내를 Brand 제품 sales의 거점지역으로 선정하여 ITX 자체 Brand가 부착된 제품의 판매. 동사는 보안장비 개발에 있어서 핵심 기술인 DSP의 자체 기술설계능력을 보유.2020년 6월 전년동기 대비 연결기준 매출액은 7.6% 감소, 영업손실은 22% 증가, 당기순손실은 51.8% 증가. 최근 단순 CCTV 시장은 정체되는 반면 IoT 등을 접목한 지능형 CCTV 시장은 성장하는 추세.  동사는 오프라인의 서비스 공급자에게 온라인 채널 플랫폼을 제공하여 플랫폼과 장비 등에서 수익을 창출하는 O2O-Platform 사업에 진출. CCTV 관련 핵심기술과 결합하여 차별화된 서비스로 시너지 창출.",-29,"28,444","105,734",-305,"1,584.80",929.35,N/A,50.13,78.76,N/A,11.83,13.99,-40.71,3.61,2.27, ,0.69,0.68,0.88,1.01,1.00
