name,code,summary,OI,OI_sec,OI_mar,EPS,EPS_sec,EPS_mar,PER,PER_sec,PER_mar,EV/EBITDA,EV/EBITDA_sec,EV/EBITDA_mar,ROE,ROE_sec,ROE_mar,DY,DY_sec,DY_mar,52B,52B_sec,52B_mar
CJ제일제당,A097950,"2007년 9월 CJ 주식회사에서 기업 분할되어 식품과 생명공학에 집중하는 사업회사로 출발한 국내 1위 식품회사의 위치를 공고히하고 있음. 고급화 되어가는 소비자 트렌드에 맞춰 프리미엄화 전략을 적극 추진하여 뛰어난 맛과 품질, 강력한 브랜드 파워를 갖추기 위해 노력 중임. 육상 및 해상 등 여러 분야에서 전국 네트워크 구축을 통해 운송의 합리화를 추진하여 물류 품질의 질적 향상과 서비스 극대화에 중점을 두고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 11.6% 증가, 영업이익은 86.5% 증가, 당기순이익은 872.1% 증가. 전년동기 대비 각종 비용이 증가하였으나 매출액 증가에 힘입어 영업이익과 당기순이익이 큰 폭으로 증가함. 국내 식품 수요 증가 및 해외 시장에서의 고성장, 바이오와 생물자원 부문의 스팟가격 상승에 따른 수익성 개선 등으로 인해 긍정적인 실적흐름이 이어질 것으로 예상됨.","8,969","25,675","1,381,841","9,312","3,534.69","3,242.61",27.12,25.42,19.81,8.35,8.65,7.14,3.16,4.00,4.70,1.39,1.32,1.99,0.66,0.57,1.00
CS홀딩스,A000590,"동사는 1949년 1월에 설립되어 1975년 12월에 발행주식을 한국증권선물거래소가 개설하는 유가증권시장에 상장함. 2010년 1월 1일을 분할기준일로 투자사업분문을 영위할 존속법인인 CS홀딩스주식회사(구, 조선선재)와 인적분할로 조선선재(주) 및 물적분할로 조선선재온산(주)로 분할하였음. 산업발전에 이바지한 공로가 인정되어 '뿌리기업명가'로 선정되어 대통령 표창을 수상하기도 하였음.2020년 6월 전년동기 대비 연결기준 매출액은 4.1% 증가, 영업이익은 19.3% 증가, 당기순이익은 34.9% 증가. 전년동기에 이어 당반기에도 주력 사업분야인 용접재료 뿐만 아니라 지주부문의 매출에서도 안정적인 흐름을 보였고 유사한 비용 구조를 보임에 따라 영업이익, 당기순이익 모두 증가세를 보임 전년동기 대비 비용구조에 비해 이익구조가 더 크게 향상됨.",170,"421,978","1,381,841","8,382","3,122.72","3,242.61",6.98,8.13,19.81,6.42,3.31,7.14,4.35,7.07,4.70,0.85,3.54,1.99,0.39,0.85,1.00
DB,A012030,"동사는 1977년 3월 15일에 설립되었으며 1993년 1월 6일 한국증권거래소 유가증권시장에 주식을 상장함. 주요 사업부문으로는 IT 사업부문, 무역사업부문, 컨설팅사업부문, 광고사업부문으로 이루어져있음. IT 서비스사업은 고객이 보유하고 있는 시스템에 대하여 우수하고 안정적인 서비스를 제공해야 하기 ？문에 다양한 시스템의 운영 및 유지보수 경험과 풍부한 개발 경험을 보유하고 있는 우수한 인력의 충분한 확보가 필요함.2020년 6월 전년동기 대비 연결기준 매출액은 20% 증가, 영업이익은 54.3% 증가, 당기순이익은 85.7% 증가. 동사 매출은 전년 동기 대비 의미 있는 수준의 증가를 기록했으며 매출원가가 늘었음에도 불구하고 판관비 절감 노력에 따라 영업이익은 전년 동기 대비 큰 폭 증가함.  영업이익 증가에 힘입어 법인세 비용 부담이 늘어났음에도 당기순이익은 전년 동기 대비 2배 가까이 증가함.",185,"80,528","1,381,841",22,"5,162.54","3,242.61",40.19,35.78,19.81,6.89,12.17,7.14,2.53,6.55,4.70, ,1.03,1.99,0.65,0.67,1.00
DB금융투자,A016610,"동사는 1982년에 국민투자금융으로 설립되었고, 2017년 11월 동부증권에서 DB금융투자로 상호 변경하였으며, 반기 현재 국내에 23개 지점이 있음. DB그룹에 속한 계열회사로서 종속회사는 DB자산운용, DB저축은행 등이 있음. 동사가 소속된 DB금융네트워크는 증권(금융투자/자산운용), 보험(손해/생명), 은행(저축은행/캐피탈)의 금융서비스 3대 축으로 체계적인 금융서비스를 One-Stop으로 제공하고 있음.2020년 6월 전년반기 대비 연결기준 매출액 81% 증가, 영업이익은 38.2% 감소, 당기순이익은 39.2% 감소.  파생상품업에서 적자가 확대되어 반기 -363.4억의 손실을 기록하였으며, 자기매매업에서는 전분기의 부진한 실적을 회복하였으나 전년반기대비 23.7% 줄어든 414.1억을 기록하며 실적 감소에 영향을 주었음. 반면 거래대금 증가로 위탁매매업에서 반기영업이익 101.4억원을 기록하며 흑자전환하였음.",874,"37,538","1,381,841","1,144","1,339.38","3,242.61",3.70,6.50,19.81, , ,7.14,7.15,8.72,4.70,5.90,3.60,1.99,1.07,1.21,1.00
DB손해보험,A005830,"1962년 한국자동차보험공영사로 출발하여 1968년 손해보험사 공동출자로 한국자동차보험으로 재출범, 1983년 동부그룹이 경영권을 인수하고 2017년 DB손해보험으로 사명 변경함. 업무 효율과 전문성 제고를 위해 DB자동차보험손해사정, DB씨에이에스손해사정, DB엠앤에스 등의 자회사를 출범함. 글로벌 초우량 보험사로 발돋움하기 위하여 미국을 해외 거점시장으로 집중 공략하고 중국, 인도네시아, 미얀마 등지에 사무소를 개설함.2020년 6월 전년동기 대비 연결기준 매출액은 8.4% 증가, 영업이익은 77.8% 증가, 당기순이익은 84.8% 증가. 외형면에서 약 6조 9,039억원의 실적(원수보험료 기준)을 올렸으며, 자동차와 특종, 장기손해보험 등 보유하고 있는 보험 종목별로 안정적인 수입 시현.  사업비율 개선으로 비용관리 역량을 되찾아가고 있으며, 코로나19의 영향으로 자동차 및 위험손해율 개선 추세가 나타나면서 순이익 개선.","5,116","41,959","1,381,841","5,334","2,147.14","3,242.61",9.81,12.99,19.81, , ,7.14,6.84,3.96,4.70,2.87,3.25,1.99,0.73,0.76,1.00
DB하이텍,A000990,"DB그룹의 주요계열사인 동사는 1953년 4월 28일에 설립되었으며, 반도체 제조를 주요 사업으로 영위함. 웨이퍼 수탁 생산 및 판매를 담당하는 Foundry 사업과 디스플레이 구동 및 Sensor IC 등 자사 제품을 설계, 판매하는 Brand 사업을 운영하고 있음. 부천(FAB1)과 상우(FAB2) 두 곳에 공장을 두고 있으며, 해외 영업을 위해 미국법인 및 대만, 일본, 중국 지사를 운영하고 있음.전력반도체와 카메라이미지센서 등 다품종을 소량으로 생산하는 체제를 중심으로 한 경쟁력으로 사상최대의 실적을 거둠. 특히 30% 대의 높은 영업이익률을 달성함. 인텔의 파운드리 외부위탁과  TSMC의 제한적인 자원 배분으로 다른 파운드리 업체들에게 낙수 효과가 기대됨. 지난해부터 전력 반도체와 센서 수요가 늘어난 데다 서버·PC 등 비대면 제품 수주도 계속 늘어나 부천과 충북 음성 소재 2개 공장을 모두 풀 가동하고 있음.","1,813","340,067","1,381,841","2,351","10,639.82","3,242.61",11.74,21.34,19.81,5.04,6.70,7.14,17.40,6.12,4.70,1.27,2.06,1.99,1.83,1.48,1.00
DGB금융지주,A139130,"급변하는 금융환경에 대응하여 지방은행으로서의 경쟁력 확보를 위해 2011년 5월, 대구은행을 기반으로 설립된 DGB금융그룹의 지주회사임. 동사의 주요사업은 은행업(대구은행), 증권업(하이투자증권), 생명보험업(DGB생명보험), 여신전문금융업(DGB캐피탈), 자산운용업(DGB자산운용) 등이 있음. 종합적인 자산관리서비스를 제공하고 직,간접적인 금융서비스를 제공하기 위해 2018년 10월 하이투자증권을 자회사로 편입함.2020년 6월 전년동기 대비 연결기준 매출액 26.1% 증가, 영업이익은 1.2% 감소, 당기순이익은 7.2% 감소. 코로나19관련 선제적 충당금 적립(세후179억원)으로 반기 순익 감소하였으나, DGB생명의 채권매각이익(79억원) 및 하이투자증권의 실적개선 등 비이자이익의 실적 호조로 감소폭을 줄였음. 전분기대비 은행 NIM -7bp, 원화대출금 +1.3%로 은행 이자이익은 0.4% 감소하였음.","4,322","421,978","1,381,841","1,936","3,122.72","3,242.61",3.68,8.13,19.81, ,3.31,7.14,7.31,7.07,4.70,5.76,3.54,1.99,0.69,0.85,1.00
DRB동일,A004840,"1945년 '동일화학공업소'로 창업하여, 1976년 '동일고무벨트 주식회사'로 기업공개를 실시하였으며, 2013년 '주식회사 디알비동일'로 상호변경하였음.  고무제품 종합메이커로서 종합 고무부품사업을 영위하고 있으며, 자동차부품, 토건자재, 면진제진 사업 등을 영위함.  사업구분은 종합고무부품 부문 ,산업용고무제품 부문, 지능형 로봇 등을 다루는 기타부문으로 구성됨. 2020년 6월 전년동기 대비 연결기준 매출액은 9.9% 감소, 영업이익은 29.2% 감소, 당기순이익은 67.3% 감소. 전년동기대비 원가 절감에도 불구하고 매출액 소폭 감소로 영업이익은 대폭 감소하였고, 이자비용 또한 절감하여으나 이자비용 증가로 당기순이익은 감소하였음.  동사의 종합고무부품 부문은 수출이 내수를 크게 앞지르며 성장을 주도하고 있고, 해외생산기지를 통한 경쟁력 향상을 꾀하여 지속적인 성장을 위해 노력 중.",265,"421,978","1,381,841",445,"3,122.72","3,242.61",11.81,8.13,19.81,5.79,3.31,7.14,2.54,7.07,4.70,1.90,3.54,1.99,0.59,0.85,1.00
DSR,A155660,"동사는 1965년에 설립되어 2000년 대성제강공업주식회사에서 DSR주식회사로 상호를 변경하였고 2013년 유가증권시장에 상장함. 동사는 합성섬유로프, 스테인리스 와이어 등의 제조 및 판매를 주요사업으로 영위하고 있음. 수요가 급증하고 있는 중국내 시장 공략을 위하여 청도 DSR제강유한공사에 판매조직을 신설하였으며, 해외지역 대형 중공업 및 선사의 직접납품을 위하여 역량을 집중하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 0.3% 증가, 영업이익은 35.7% 증가, 당기순이익은 11.8% 증가. 동사의 수요 매우 광범위하고 산업전반의 경기변동으로부터 영향을 많이 받는 산업. 합성섬유로프는 국내 1위 업체의 자리를 유지 하고 있으며, 스테인리스 와이어의 경우 업계 2위의 자리를 지키고 있음. 수출지역이 다원화 되어 있고 원가상승분을 판매가격에 충분히 전가하고 있어 실적호조세는 이어질 것으로 전망됨.",107,"58,399","1,381,841",546,"4,607.24","3,242.61",8.40,14.65,19.81,6.28,6.02,7.14,5.83,3.24,4.70,1.09,3.06,1.99,1.55,1.01,1.00
DSR제강,A069730,"동사는 와이어로프 및 경강선 제조 판매 등을 영위할 목적으로 1971년 9월 1일 설립되었으며, 2003년 1월 28일 유가증권시장에 상장함. 동사는 상장사 'DSR(주)'와 해외현지법인 3개사로 총 4개의 계열회사를 가지고 있음. 동사의 국내시장 점유율은 2020년 1분기 실적을 기준으로 약 28.3% 정도임. NS 6xWS(31)+IWSC 연구로 일본제품 대체품을 개발함.2020년 6월 전년동기 대비 별도기준 매출액은 7% 감소, 영업이익은 1.4% 감소, 당기순이익은 8.3% 증가. 전년 동기 대비 매출과 영업이익은 줄었지만 전체 매출에서 고부가 특수 제품의 매출이 늘면서 원가구조가 개선돼 순이익이 증가함. 스테인리스 와이어의 경우 자동차, 전기, 전자, 건설 등 전 산업에 걸쳐 소량 다품종으로 유통되어 가공업체에 원재료로 공급되기 때문에 타 산업 영향을 받음.",52,"58,399","1,381,841",469,"4,607.24","3,242.61",9.70,14.65,19.81,6.45,6.02,7.14,4.86,3.24,4.70,0.88,3.06,1.99,1.74,1.01,1.00
E1,A017940,"동사는 1984년 9월 6일 설립되었으며 1997년 8월 27일에 유가증권시장에 상장함. 주요 사업내용으로는 액화 석유 가스를 포함한 석유 제품과 각종 가스 및 가스 기기의 수출입, 제조, 저장, 운송 및 판매업, 부동산 임대업 등이 있음. LPG는 기화 온도 차이에 따라 용도 특성이 구별됨. 프로판은 주로 취사, 난방, 산업용 연료로 사용되며, 부탄은 자동차 및 이동식 난방기 연료, 석유 화학용 원료로 활용됨.2020년 6월 전년동기 대비 연결기준 매출액은 1% 감소, 영업이익은 123.5% 증가, 당기순이익 흑자전환. 전년동기대비 매출은 줄었으나 원가율 하락과 판관비 절감 노력에 힘입어 영업이익이 증가함. 동사는 LPG소형저장탱크 보급 사업 등을 통해 가정/상업용 프로판 수요 확대를 위해 노력 중임. 2019년 LPG 사용제한이 폐지되어 차량용 부탄 수요가 증가할 것으로 예상됨.","1,063","56,533","1,381,841","-6,293","2,581.43","3,242.61",N/A,28.06,19.81,7.86,9.02,7.14,-3.63,2.88,4.70,4.55,1.64,1.99,0.47,0.84,1.00
F&F,A007700,"동사는 1972년 2월 24일 설립됨. 1992년 패션 사업에 진출한 이래로 국내에서 가장 영향력 있고 글로벌한 경쟁력을 갖춘 패션 전문회사로 성장하였음. MLB, MLB KIDS, DISCOVERY EXPEDITION, STRETCH ANGELS등의 브랜드를 성공적으로 전개하며 지속적인 성장을 기록하고 있음. 동남아 및 중국 시장에서 MLB의 지속적인 확장을 통해 글로벌 패션기업으로 성장하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 8.5% 감소, 영업이익은 20.8% 감소, 당기순이익은 20.9% 감소. 2019년 국내 패션 시장 규모는 전년도 대비1.8% 성장하는 등 저성장 기조가 이어짐. 여기에 코로나19로 글로벌 시장 소비심리가 악화됨. 동사는 과시즌 상품을 판매하는 상설점을 운영해 이월상품을 소진하고 세분화되는 고객 취향에 맞게 다양한 브랜드를 운영하는 등의 전략으로 성장을 이어가고자 함.","1,507","5,512","1,381,841","7,156","1,121.74","3,242.61",15.65,46.03,19.81,9.54,8.90,7.14,25.13,1.91,4.70,0.89,1.44,1.99,0.79,0.62,1.00
GKL,A114090,"동사는 2005년 설립되었으며 카지노 및 관광숙박업 등의 사업을 영위하고 있음. 2015년 이후 중국의 반부패정책, 메르스 발병, 사드 배치에 따른 한중 간의 갈등으로 매출이 감소하였으며 2020년에는 코로나19 발병으로 어려움을 겪고 있음. 외국인 전용카지노를 운영하고 있는 동사는 각 국가 특성에 따른 차별화된 마케팅 전략으로 고객을 유치하고 있으며, 고객의 게임 실적에 따라 세분화하여 특화된 서비스를 제공.2020년 6월 전년동기 대비 연결기준 매출액은 40.5% 감소, 영업이익 적자전환, 당기순이익 적자전환. 코로나 19 사태로 2020년 3월 24일부터 휴장을 진행하고 있으며 한 달 이상 휴장기간이 길어지면서 수백억원의 손실이 예상됨. 코로나19 확산세가 이어지며 국가 사이의 이동제한 완화시점이 불확실한 가운데 내수기반의 사업부문이 부재해 실적 회복이 어려울 것으로 전망.",968,"80,528","1,381,841","1,170","5,162.54","3,242.61",16.62,35.78,19.81,8.98,12.17,7.14,12.62,6.55,4.70,3.39,1.03,1.99,0.80,0.67,1.00
GS,A078930,"동사는 2004년 7월 (주)LG를 인적 분할하여 설립된 지주회사로서, 자회사로는 GS에너지, GS리테일, GS홈쇼핑, GS스포츠, GS이피에스, GS글로벌, GS이앤알이 있음. 사업부문은 유통, 무역, 가스전력사업, 투자 및 기타(호텔업, 프로축구 등)으로 구분됨. 주요 자회사인 GS리테일은 GS25, GS수퍼마켓 등의 유통사업을 영위하고 있으며 2015년 파르나스호텔 지분 67.56% 취득하여 관광호텔업도 영위하게 됨.2020년 6월 전년동기 대비 연결기준 매출액은 11.9% 감소, 영업이익은 83.3% 감소, 당기순이익 적자전환. 동사는 현재 파라자일렌 135만톤 벤젠 93만톤 톨루엔 17만톤 혼합자일렌 35만톤 등 연 280만톤의 방향족제품 생산능력을 보유하고 있음. 산업부문 나프타 수요는 LPG, Ethane 등 경쟁원료의 가격 변동에 영향을 받을 것으로 보이며 항공유는 최근 코로나19로 인한 수요 감소가 나타나고 있음.","20,331","421,978","1,381,841","5,744","3,122.72","3,242.61",8.98,8.13,19.81,8.02,3.31,7.14,6.26,7.07,4.70,3.68,3.54,1.99,0.95,0.85,1.00
